epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.357430219258495e-12,0.005125792697072029,0.9933071732521057,0.9933090806007385,0.9933079481124878,3.4710183172137477e-07,-1.3085442018140325e-13,7.083988614892817e-14,-1.3006275608384507e-16,2.6408666174552488e-15,4.786200732617707e-13,-0.00013085441605653614,7.08398874849081e-05,0.00047862002975307405,2.850819591221109e-05,2.0774896256625652e-06,3.039836883544922e-06,2.1267902639010572e-07,0.0,0.0,0.0,anisotropic
1,3.357420678279377e-12,0.005125799216330051,0.9933090209960938,0.9933115839958191,0.9933100938796997,4.04708430323808e-07,-1.308536341348282e-13,7.083906622103522e-14,-1.300614855344242e-16,2.6408501003127773e-15,4.786170374956877e-13,-0.0001308536302531138,7.08390653016977e-05,0.00047861706116236746,2.851980082727414e-05,2.022818080149591e-06,3.039836883544922e-06,2.250260422442807e-07,0.0,0.0,0.0,anisotropic
2,3.357411137300259e-12,0.005125806201249361,0.9933105707168579,0.9933145642280579,0.9933121204376221,5.577264232670132e-07,-1.3085278032561737e-13,7.083849023863109e-14,-1.3005967235452147e-16,2.6408314655879377e-15,4.78613676468953e-13,-0.00013085278624203056,7.083849050104618e-05,0.000478613656014204,2.8562839347507566e-05,2.0806528482353315e-06,3.337860107421875e-06,2.6097276872860675e-07,0.0,0.0,0.0,anisotropic
3,3.3574000784380997e-12,0.005125813186168671,0.9933121204376221,0.9933176636695862,0.9933141469955444,7.823362011549762e-07,-1.308518180961893e-13,7.083771096831962e-14,-1.3005788564439836e-16,2.6408111367972036e-15,4.786099901815666e-13,-0.00013085181126371026,7.083771197358146e-05,0.0004786099889315665,2.8636445841145542e-05,2.2117419575806707e-06,3.7550926208496094e-06,3.161798645123781e-07,0.0,0.0,0.0,anisotropic
4,3.357387935373768e-12,0.005125819705426693,0.993313729763031,0.9933211207389832,0.9933163523674011,1.0963320846713032e-06,-1.3085074744654396e-13,7.083684360658163e-14,-1.3005583423647923e-16,2.6407884786658646e-15,4.786058702133111e-13,-0.0001308507489738986,7.083684613462538e-05,0.0004786058852914721,2.874475482176387e-05,2.3970533220563084e-06,4.291534423828125e-06,3.87834518278396e-07,0.0,0.0,0.0,anisotropic
