epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.3704855312982618e-12,0.005119337234646082,0.9890126585960388,0.9890136122703552,0.9890131950378418,1.8372639942754176e-07,-1.321639331178584e-13,7.188217713118353e-14,-1.3250845783992346e-16,2.668069927589268e-15,4.83560077830375e-13,-0.013216393068432808,0.007188217714428902,0.048356011509895325,3.515349681756209e-05,2.215105268987827e-06,8.52346420288086e-06,2.7519317882251926e-06,0.0,0.0,0.0,anisotropic
1,3.3704775082021854e-12,0.005119233392179012,0.9890046715736389,0.9890203475952148,0.9890131950378418,2.7657792998070363e-06,-1.3216329614908207e-13,7.188204160591197e-14,-1.3250734610918019e-16,2.668057433853296e-15,4.835579094260301e-13,-0.013216329738497734,0.00718820421025157,0.04835578799247742,0.000257882013603324,4.8086272727232426e-05,0.00015652179718017578,5.746825991082005e-05,0.0,0.0,0.0,anisotropic
2,3.369912855710755e-12,0.0051197027787566185,0.9888588786125183,0.989159882068634,0.9890130162239075,5.750896889367141e-05,-1.321219202836746e-13,7.185356097009349e-14,-1.3246028284104837e-16,2.6674407938676948e-15,4.834459655517209e-13,-0.013212191872298717,0.007185355760157108,0.04834459349513054,0.0031005260493651206,0.00016028620302677155,0.0004916191101074219,0.0001858783361967653,0.0,0.0,0.0,anisotropic
3,3.3674105170966584e-12,0.005117388907819986,0.9885243773460388,0.9894269704818726,0.9890114068984985,0.00019755364337470382,-1.3216139879528022e-13,7.181087728581545e-14,-1.3218858378832675e-16,2.665465089518224e-15,4.830863899012161e-13,-0.013216139748692513,0.007181087508797646,0.048308633267879486,0.010147818538217461,0.00035896149347536266,0.001210927963256836,0.0004197892267256975,0.0,0.0,0.0,anisotropic
4,3.3607780187266956e-12,0.005116882734000683,0.9876889586448669,0.9901250600814819,0.9890027642250061,0.00048125279136002064,-1.3199536678509122e-13,7.167819804495754e-14,-1.3164313427496438e-16,2.6614844581826025e-15,4.82361817589344e-13,-0.013199536129832268,0.0071678198873996735,0.0482361875474453,0.021815480369709376,0.0007574440678581595,0.0035691261291503906,0.0009035533294081688,0.0,0.0,0.0,anisotropic
