epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,6.892237648659094e-12,0.01601000875234604,0.9933054447174072,0.9933054447174072,0.9933052659034729,0.0,-1.374717668260056e-13,1.0529784374080017e-13,-2.4701000107284535e-16,3.5063041083457274e-15,6.362722306495205e-13,-0.0001374717685393989,0.0001052978404914029,0.0006362721906043589,5.958588917699607e-05,2.205371856689453e-06,2.205371856689453e-06,0.0,0.0,0.0,0.0,anisotropic
1,6.892221168786072e-12,0.016010059043765068,0.9933076500892639,0.9933076500892639,0.9933078289031982,0.0,-1.374710891996478e-13,1.0529726775839604e-13,-2.470076717322404e-16,3.5062861088955982e-15,6.362689238328945e-13,-0.00013747108459938318,0.00010529726569075137,0.0006362689309753478,5.955441061286936e-05,2.0265579223632812e-06,2.0265579223632812e-06,0.0,0.0,0.0,0.0,anisotropic
2,6.8922090257217405e-12,0.016010109335184097,0.9933096766471863,0.9933096766471863,0.9933097958564758,0.0,-1.3747049288845292e-13,1.052966307896197e-13,-2.470061364850235e-16,3.5062700152696004e-15,6.362659964870288e-13,-0.0001374704879708588,0.00010529663268243894,0.0006362660205923021,5.952616958562311e-05,1.8477439880371094e-06,1.8477439880371094e-06,0.0,0.0,0.0,0.0,anisotropic
3,6.892202954189575e-12,0.01601015031337738,0.9933115243911743,0.9933115243911743,0.9933116436004639,0.0,-1.3746986947220374e-13,1.052960751360063e-13,-2.4700521004273745e-16,3.506256886258918e-15,6.362636112422493e-13,-0.000137469862238504,0.00010529607243370265,0.0006362636340782046,5.9500468857228666e-05,1.7284219211433083e-06,1.7285346984863281e-06,2.590275549607668e-09,0.0,0.0,0.0,anisotropic
4,6.892194280572195e-12,0.016010195016860962,0.993313193321228,0.9933132529258728,0.9933130741119385,4.227848648952204e-08,-1.374693544761718e-13,1.0529556013997438e-13,-2.4700396596309617e-16,3.506244180764709e-15,6.362612802075784e-13,-0.000137469352921471,0.00010529556311666965,0.0006362613057717681,5.947661165644174e-05,1.6094381862785667e-06,1.6689300537109375e-06,2.590275549607668e-09,0.0,0.0,0.0,anisotropic
5,6.892187341678291e-12,0.016010232269763947,0.9933148622512817,0.9933148622512817,0.993314802646637,0.0,-1.3746878527003126e-13,1.0529501803888813e-13,-2.470030924603693e-16,3.506231687028737e-15,6.362590575931248e-13,-0.0001374687853967771,0.00010529501741984859,0.0006362590356729925,5.9454540413739715e-05,1.5497207641601562e-06,1.5497207641601562e-06,0.0,0.0,0.0,0.0,anisotropic
6,6.892176065975697e-12,0.01601027138531208,0.9933164119720459,0.9933164119720459,0.9933165907859802,0.0,-1.3746836514168942e-13,1.052945979105463e-13,-2.47001583682932e-16,3.5062196168092388e-15,6.362568349786712e-13,-0.00013746836339123547,0.00010529459541430697,0.0006362568237818778,5.9433757994949216e-05,1.430511474609375e-06,1.430511474609375e-06,0.0,0.0,0.0,0.0,anisotropic
7,6.892168259720055e-12,0.016010306775569916,0.9933178424835205,0.9933178424835205,0.9933176636695862,0.0,-1.3746793146082043e-13,1.0529415067715014e-13,-2.4700052489174795e-16,3.5062083936226876e-15,6.362547749945435e-13,-0.00013746792683377862,0.0001052941515808925,0.0006362547865137458,5.9414332147525884e-05,1.430511474609375e-06,1.430511474609375e-06,0.0,0.0,0.0,0.0,anisotropic
8,6.892160453464413e-12,0.01601034216582775,0.9933192729949951,0.9933192729949951,0.9933194518089294,0.0,-1.3746749777995143e-13,1.0529373732507188e-13,-2.469995190401231e-16,3.50619759395261e-15,6.362528234306331e-13,-0.000137467504828237,0.0001052937368513085,0.0006362528656609356,5.939606734218091e-05,1.3113021850585938e-06,1.3113021850585938e-06,0.0,0.0,0.0,0.0,anisotropic
9,6.892153514570509e-12,0.01601037196815014,0.9933205842971802,0.9933205842971802,0.9933205246925354,0.0,-1.3746709120413675e-13,1.0529331042046647e-13,-2.469985131884982e-16,3.5061870060407695e-15,6.362509260768312e-13,-0.0001374670973746106,0.00010529330756980926,0.0006362508866004646,5.9378786639846543e-05,1.3113021850585938e-06,1.3113021850585938e-06,0.0,0.0,0.0,0.0,anisotropic
10,6.8921439735913914e-12,0.016010407358407974,0.9933218955993652,0.9933218955993652,0.9933221340179443,0.0,-1.3746669818084922e-13,1.0529295127849683e-13,-2.4699711029017933e-16,3.506176206370692e-15,6.362489203028121e-13,-0.00013746670447289944,0.00010529295104788616,0.0006362489657476544,5.936233263431829e-05,1.2516975402832031e-06,1.2516975402832031e-06,0.0,0.0,0.0,0.0,anisotropic
