epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.3574341223863158e-12,0.005125791300088167,0.9933072328567505,0.9933072328567505,0.9933071732521057,0.0,-1.3085481320469078e-13,7.083983193881954e-14,-1.3006414574727416e-16,2.640876570092379e-15,4.786218621953553e-13,-0.0001308548089582473,7.083982927724719e-05,0.00047862183419056237,3.136654877498219e-05,2.1457672119140625e-06,2.1457672119140625e-06,0.0,0.0,0.0,0.0,anisotropic
1,3.357426749811543e-12,0.005125799216330051,0.9933093786239624,0.9933093786239624,0.9933092594146729,0.0,-1.3085402715811573e-13,7.083947957311348e-14,-1.3006234580226125e-16,2.6408602647081444e-15,4.78618880639381e-13,-0.00013085402315482497,7.083948003128171e-05,0.0004786188655998558,3.134946952293664e-05,2.0265579223632812e-06,2.0265579223632812e-06,0.0,0.0,0.0,0.0,anisotropic
2,3.3574204614389425e-12,0.005125804804265499,0.9933114051818848,0.9933114051818848,0.9933111667633057,0.0,-1.308534172943937e-13,7.083899168213587e-14,-1.3006124730640777e-16,2.6408473474556987e-15,4.786165496047101e-13,-0.00013085341197438538,7.083899254212156e-05,0.00047861659550108016,3.133412352998356e-05,1.7881393432617188e-06,1.7881393432617188e-06,0.0,0.0,0.0,0.0,anisotropic
3,3.357414606747211e-12,0.005125811789184809,0.993313193321228,0.993313193321228,0.9933130741119385,0.0,-1.3085279387814452e-13,7.083870707906559e-14,-1.3005963264985207e-16,2.6408340066867795e-15,4.786141643599306e-13,-0.0001308528007939458,7.08387087797746e-05,0.00047861412167549133,3.13198774738836e-05,1.7285346984863281e-06,1.7285346984863281e-06,0.0,0.0,0.0,0.0,anisotropic
4,3.357410269938521e-12,0.005125816911458969,0.9933149218559265,0.9933149218559265,0.993314802646637,0.0,-1.3085237374980269e-13,7.083813787292503e-14,-1.3005923560315805e-16,2.6408257481155438e-15,4.786126464768892e-13,-0.00013085237878840417,7.08381412550807e-05,0.0004786126082763076,3.130688892802311e-05,1.6093254089355469e-06,1.6093254089355469e-06,0.0,0.0,0.0,0.0,anisotropic
5,3.357405499448962e-12,0.005125822965055704,0.9933165311813354,0.9933165311813354,0.9933165907859802,0.0,-1.308518723062979e-13,7.083777195469182e-14,-1.300583356306516e-16,2.6408157954784135e-15,4.786108033331959e-13,-0.00013085186947137117,7.083777018124238e-05,0.0004786108329426497,3.129461159950603e-05,1.5497207641601562e-06,1.5497207641601562e-06,0.0,0.0,0.0,0.0,anisotropic
6,3.3574009457998377e-12,0.005125828552991152,0.9933180809020996,0.9933180809020996,0.9933183193206787,0.0,-1.3085139796784745e-13,7.083739248393145e-14,-1.3005750183259413e-16,2.64080605459952e-15,4.7860906860972e-13,-0.00013085140381008387,7.083739183144644e-05,0.0004786090285051614,3.128305217809408e-05,1.430511474609375e-06,1.430511474609375e-06,0.0,0.0,0.0,0.0,anisotropic
7,3.3573963921507133e-12,0.00512583227828145,0.9933195114135742,0.9933195114135742,0.9933195114135742,0.0,-1.3085096428697846e-13,7.083704011822539e-14,-1.3005664156475708e-16,2.640796948995337e-15,4.78607333886244e-13,-0.00013085096725262702,7.083704258548096e-05,0.00047860736958682537,3.127210167633536e-05,1.3709068298339844e-06,1.3709068298339844e-06,0.0,0.0,0.0,0.0,anisotropic
8,3.3573924890228923e-12,0.005125837866216898,0.993320882320404,0.993320882320404,0.9933207035064697,0.0,-1.3085054415863662e-13,7.083670130504649e-14,-1.3005587394114863e-16,2.640787843391154e-15,4.786057617930939e-13,-0.0001308505452470854,7.083670061547309e-05,0.0004786057397723198,3.1261693884409143e-05,1.3709068298339844e-06,1.3709068298339844e-06,0.0,0.0,0.0,0.0,anisotropic
9,3.3573877185333334e-12,0.005125843454152346,0.9933222532272339,0.9933222532272339,0.9933223128318787,0.0,-1.3085002916260469e-13,7.083653189845704e-14,-1.3005452398238894e-16,2.64077683196284e-15,4.786037018089662e-13,-0.0001308500359300524,7.083653326844797e-05,0.0004786037025041878,3.125162801472009e-05,1.2516975402832031e-06,1.2516975402832031e-06,0.0,0.0,0.0,0.0,anisotropic
